Fault Code,Fault Description (English),Fault Description (中文),Fault Description (Français),Go To FIM Task,,
29102000,Electrical power:  power to the electric motor-driven pump is interrupted during normal operation - system A.,电源：电动泵的电源在正常操作期间中断 - 系统A。,Alimentation électrique : l'alimentation de la pompe entraînée par moteur électrique est interrompue pendant le fonctionnement normal - système A.,29-10TASK 803,,
29102500,Electrical power:  power to the electric motor-driven pump is interrupted during normal operation - system B.,电源：电动泵的电源在正常操作期间中断 - 系统B。,Alimentation électrique : l'alimentation de la pompe entraînée par moteur électrique est interrompue pendant le fonctionnement normal - système B.,29-10TASK 804,,
29104000,Hydraulic fluid:  fluid leakage.,液压油：油液泄漏。,Fluide hydraulique : fuite de fluide.,29-10TASK 812,,
29105000,Hydraulic fluid:  Comes out of the reservoir vent line.,液压油：从储油箱通气管路流出。,Fluide hydraulique : Sort du tuyau de mise à l'air libre du réservoir.,29-10TASK 805,,
29106000,Hydraulic fluid:  Comes out of the reservoir vent line drain mast.,液压油：从储油箱通气管路排泄管流出。,Fluide hydraulique : Sort du mât de drainage du tuyau de mise à l'air libre du réservoir.,29-10TASK 805,,
29107000,Hydraulic fluid:  Transfers from system A to system B.,液压油：从系统A传输到系统B。,Fluide hydraulique : Transfert du système A vers le système B.,29-10TASK 806,,
29108000,Hydraulic fluid:  Transfers from system B to system A.,液压油：从系统B传输到系统A。,Fluide hydraulique : Transfert du système B vers le système A.,29-10TASK 807,,
29109000,Hydraulic pressure indication:  above 3200 psi - system A.,液压压力指示：高于 3200 psi - 系统A。,Indication de pression hydraulique : supérieure à 3200 psi - système A.,29-10TASK 808,,
29110000,Hydraulic pressure indication:  above 3200 psi - system B.,液压压力指示：高于 3200 psi - 系统B。,Indication de pression hydraulique : supérieure à 3200 psi - système B.,29-10TASK 809,,
29111000,Hydraulic pressure indication:  Below 2800 psi - system A.,液压压力指示：低于 2800 psi - 系统A。,Indication de pression hydraulique : inférieure à 2800 psi - système A.,29-10TASK 810,,
29112000,Hydraulic pressure indication:  Below 2800 psi - system B.,液压压力指示：低于 2800 psi - 系统B。,Indication de pression hydraulique : inférieure à 2800 psi - système B.,29-10TASK 811,,
29113100,Hydraulic pressure indication:  momentarily below 2900 psi - system A.,液压压力指示：瞬时低于 2900 psi - 系统A。,Indication de pression hydraulique : momentanément inférieure à 2900 psi - système A.,29-10TASK 813,,
29113200,Hydraulic pressure indication:  momentarily below 2900 psi - system B.,液压压力指示：瞬时低于 2900 psi - 系统B。,Indication de pression hydraulique : momentanément inférieure à 2900 psi - système B.,29-10TASK 813,,
29113300,Hydraulic pressure indication:  momentarily below 2900 psi - systems A and B.,液压压力指示：瞬时低于 2900 psi - 系统A和B。,Indication de pression hydraulique : momentanément inférieure à 2900 psi - systèmes A et B.,29-10TASK 813,,
29120151,Fire handle in the pulled position while engine turns - engine 1.,发动机转动时灭火手柄处于拉出位置 - 发动机1。,Poignée d'incendie en position tirée pendant que le moteur tourne - moteur 1.,29-11TASK 801,,
29120152,Fire handle in the pulled position while engine turns - engine 2.,发动机转动时灭火手柄处于拉出位置 - 发动机2。,Poignée d'incendie en position tirée pendant que le moteur tourne - moteur 2.,29-11TASK 801,,
29201000,Standby hydraulic pump:  does not operate.,备用液压泵：不工作。,Pompe hydraulique de secours : ne fonctionne pas.,29-20TASK 801,,
29204000,PTU:  does not operate.,动力传输单元(PTU)：不工作。,Unité de transfert de puissance (PTU) : ne fonctionne pas.,29-20TASK 804,,
29302000,Hydraulic pressure indication:  Zero - system A.,液压压力指示：零 - 系统A。,Indication de pression hydraulique : Zéro - système A.,29-30TASK 803,,
29302500,Hydraulic pressure indication:  Zero - system B.,液压压力指示：零 - 系统B。,Indication de pression hydraulique : Zéro - système B.,29-30TASK 804,,
29303000,ELEC 1 OVERHEAT light:  light on.,ELEC 1 过热灯：灯亮。,Voyant ELEC 1 OVERHEAT : voyant allumé.,29-30TASK 805,,
29304000,ELEC 2 OVERHEAT light:  light on.,ELEC 2 过热灯：灯亮。,Voyant ELEC 2 OVERHEAT : voyant allumé.,29-30TASK 806,,
29305000,Hydraulic fluid quantity indication:  error or blank - system A.,液压油量指示：错误或空白 - 系统A。,Indication de quantité de fluide hydraulique : erreur ou vide - système A.,31-62TASK 801,,
29306000,Hydraulic fluid quantity indication:  error or blank - system B.,液压油量指示：错误或空白 - 系统B。,Indication de quantité de fluide hydraulique : erreur ou vide - système B.,31-62TASK 801,,
29307000,Hydraulic fluid quantity indication:  flight compartment display and hydraulic reservoir gauge do not read the same - system A.,液压油量指示：驾驶舱显示和液压储油箱表指示不一致 - 系统A。,Indication de quantité de fluide hydraulique : l'affichage du poste de pilotage et la jauge du réservoir hydraulique n'indiquent pas la même valeur - système A.,31-62TASK 801,,
29308000,Hydraulic fluid quantity indication:  flight compartment display and hydraulic reservoir gauge do not read the same - system B.,液压油量指示：驾驶舱显示和液压储油箱表指示不一致 - 系统B。,Indication de quantité de fluide hydraulique : l'affichage du poste de pilotage et la jauge du réservoir hydraulique n'indiquent pas la même valeur - système B.,31-62TASK 801,,
29309000,Hydraulic fluid quantity indication:  flight compartment display shows zero, reservoir has hydraulic fluid - system A.,液压油量指示：驾驶舱显示为零，储油箱有液压油 - 系统A。,Indication de quantité de fluide hydraulique : l'affichage du poste de pilotage indique zéro, le réservoir contient du fluide hydraulique - système A.,31-62TASK 801
29310000,Hydraulic fluid quantity indication:  flight compartment display shows zero, reservoir has hydraulic fluid - system B.,液压油量指示：驾驶舱显示为零，储油箱有液压油 - 系统B。,Indication de quantité de fluide hydraulique : l'affichage du poste de pilotage indique zéro, le réservoir contient du fluide hydraulique - système B.,31-62TASK 801
29311000,Hydraulic fluid quantity indication:  flight compartment display moves erratically or jumps between readings - system A.,液压油量指示：驾驶舱显示不稳定或在读数间跳动 - 系统A。,Indication de quantité de fluide hydraulique : l'affichage du poste de pilotage bouge de manière erratique ou saute entre les lectures - système A.,31-62TASK 801,,
29312000,Hydraulic fluid quantity indication:  flight compartment display moves erratically or jumps between readings - system B.,液压油量指示：驾驶舱显示不稳定或在读数间跳动 - 系统B。,Indication de quantité de fluide hydraulique : l'affichage du poste de pilotage bouge de manière erratique ou saute entre les lectures - système B.,31-62TASK 801,,
29313000,Hydraulic fluid quantity indication:  Shows RF (76%) - system A.,液压油量指示：显示 RF (76%) - 系统A。,Indication de quantité de fluide hydraulique : Affiche RF (76%) - système A.,29-30TASK 815,,
29314000,Hydraulic fluid quantity indication:  Shows RF (76%) - system B.,液压油量指示：显示 RF (76%) - 系统B。,Indication de quantité de fluide hydraulique : Affiche RF (76%) - système B.,29-30TASK 815,,
29315000,Hydraulic fluid quantity indication:  does not return to the same level after operation of a heavy use system.,液压油量指示：操作“高负荷使用”系统后未恢复到相同水平。,Indication de quantité de fluide hydraulique : ne revient pas au même niveau après le fonctionnement d'un système à forte utilisation.,29-30TASK 808,,
29316000,Hydraulic reservoir gauge:  Shows zero or below, reservoir has hydraulic fluid - system A.,液压储油箱表：显示零或以下，储油箱有液压油 - 系统A。,Jauge du réservoir hydraulique : Affiche zéro ou moins, le réservoir contient du fluide hydraulique - système A.,29-30TASK 808
29317000,Hydraulic reservoir gauge:  Shows zero or below, reservoir has hydraulic fluid - system B.,液压储油箱表：显示零或以下，储油箱有液压油 - 系统B。,Jauge du réservoir hydraulique : Affiche zéro ou moins, le réservoir contient du fluide hydraulique - système B.,29-30TASK 808
29318000,STANDBY HYD LOW QUANTITY light:  light on.,备用液压低油量灯：灯亮。,Voyant STANDBY HYD LOW QUANTITY : voyant allumé.,29-30TASK 809,,
29319000,ELEC 1 LOW PRESSURE light:  light on.,ELEC 1 低压灯：灯亮。,Voyant ELEC 1 LOW PRESSURE : voyant allumé.,29-30TASK 810,,
29320000,ELEC 2 LOW PRESSURE light:  light on.,ELEC 2 低压灯：灯亮。,Voyant ELEC 2 LOW PRESSURE : voyant allumé.,29-30TASK 811,,
29321051,ENG 1 LOW PRESSURE light:  light on.,ENG 1 低压灯：灯亮。,Voyant ENG 1 LOW PRESSURE : voyant allumé.,29-30TASK 812,,
29321052,ENG 2 LOW PRESSURE light:  light on.,ENG 2 低压灯：灯亮。,Voyant ENG 2 LOW PRESSURE : voyant allumé.,29-30TASK 813,,
29322000,STANDBY HYD LOW PRESSURE light:  light on.,备用液压低压灯：灯亮。,Voyant STANDBY HYD LOW PRESSURE : voyant allumé.,29-30TASK 814,,
320 040 00,PSEU: BITE display is blank.,接近开关电子组件(PSEU)：内置测试设备(BITE)显示空白。,Unité électronique de proximité (PSEU) : L'affichage BITE est vide.,32-09 TASK 811,,
320 060 00,PSEU light: light does not come on during test.,接近开关电子组件(PSEU)灯：测试期间灯不亮。,Voyant PSEU : le voyant ne s'allume pas pendant le test.,33-10 TASK 801,,
322 010 00,Nose landing gear shock strut: deflated or pressure is low.,前起落架减震支柱：放气或压力低。,Amortisseur de train d'atterrissage avant : dégonflé ou pression basse.,32-21 TASK 801,,
323 010 00,Landing gear lever: does not move to the UP position in flight, is free to move to the UP position when the lock override is used.,起落架手柄：飞行中无法移动到收上位，使用锁止超控时可自由移动到收上位。,Levier de train d'atterrissage : ne se déplace pas en position HAUT en vol, est libre de se déplacer en position HAUT lorsque le débrayage de verrouillage est utilisé.,32-30 TASK 813
323 080 41,Main landing gear: Slow to retract - left.,主起落架：收起缓慢 - 左侧。,Train d'atterrissage principal : Lenteur à la rentrée - gauche.,32-32 TASK 804,,
323 080 42,Main landing gear: Slow to retract - right.,主起落架：收起缓慢 - 右侧。,Train d'atterrissage principal : Lenteur à la rentrée - droit.,32-32 TASK 804,,
323 080 48,Main landing gear: Slow to retract - left and right.,主起落架：收起缓慢 - 左侧和右侧。,Train d'atterrissage principal : Lenteur à la rentrée - gauche et droit.,32-32 TASK 803,,
323 090 41,Main landing gear: slow to extend - left.,主起落架：放下缓慢 - 左侧。,Train d'atterrissage principal : Lenteur à la sortie - gauche.,32-32 TASK 804,,
323 090 42,Main landing gear: slow to extend - right.,主起落架：放下缓慢 - 右侧。,Train d'atterrissage principal : Lenteur à la sortie - droit.,32-32 TASK 804,,
323 090 48,Main landing gear: slow to extend - left and right.,主起落架：放下缓慢 - 左侧和右侧。,Train d'atterrissage principal : Lenteur à la sortie - gauche et droit.,32-32 TASK 803,,
323 120 00,Nose landing gear: slow to extend.,前起落架：放下缓慢。,Train d'atterrissage avant : Lenteur à la sortie.,32-30 TASK 806,,
323 130 00,Nose landing gear: Slow to retract.,前起落架：收起缓慢。,Train d'atterrissage avant : Lenteur à la rentrée.,32-30 TASK 806,,
